forecast_id,corridor_id,section_id,forecast_date,window_start,window_end,expected_train_count,lower_bound,upper_bound,confidence,expected_occupancy_minutes,synthetic_data
FORECAST-000076,COR-02,SEC-04,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,0,0,2,0.85,0,True
FORECAST-000077,COR-02,SEC-05,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,3,2,4,0.73,60,True
FORECAST-000078,COR-02,SEC-05,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,4,2,6,0.87,104,True
FORECAST-000079,COR-02,SEC-05,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,2,0,4,0.89,42,True
FORECAST-000080,COR-02,SEC-05,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,1,0,3,0.75,18,True
FORECAST-000081,COR-02,SEC-06,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,2,1,3,0.74,44,True
FORECAST-000082,COR-02,SEC-06,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,0,0,1,0.85,0,True
FORECAST-000083,COR-02,SEC-06,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,3,2,4,0.81,69,True
FORECAST-000084,COR-02,SEC-06,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,4,2,6,0.76,72,True
FORECAST-000085,COR-03,SEC-07,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,1,0,2,0.83,21,True
FORECAST-000086,COR-03,SEC-07,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,3,2,4,0.85,60,True
FORECAST-000087,COR-03,SEC-07,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,2,1,3,0.8,48,True
FORECAST-000088,COR-03,SEC-07,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,3,2,4,0.87,66,True
FORECAST-000089,COR-03,SEC-08,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,0,0,2,0.93,0,True
FORECAST-000090,COR-03,SEC-08,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,1,0,2,0.84,22,True
FORECAST-000091,COR-03,SEC-08,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,3,2,4,0.85,81,True
FORECAST-000092,COR-03,SEC-08,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,3,2,4,0.78,63,True
FORECAST-000093,COR-03,SEC-09,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,4,3,5,0.84,100,True
FORECAST-000094,COR-03,SEC-09,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,3,1,5,0.84,57,True
FORECAST-000095,COR-03,SEC-09,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,3,2,4,0.86,84,True
FORECAST-000096,COR-03,SEC-09,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,1,0,2,0.85,19,True
FORECAST-000097,COR-04,SEC-10,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,2,0,4,0.78,54,True
FORECAST-000098,COR-04,SEC-10,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,1,0,2,0.94,19,True
FORECAST-000099,COR-04,SEC-10,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,4,3,5,0.84,108,True
FORECAST-000100,COR-04,SEC-10,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,3,1,5,0.81,78,True
FORECAST-000101,COR-04,SEC-11,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,1,0,3,0.88,21,True
FORECAST-000102,COR-04,SEC-11,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,0,0,2,0.75,0,True
FORECAST-000103,COR-04,SEC-11,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,1,0,3,0.72,22,True
FORECAST-000104,COR-04,SEC-11,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,2,0,4,0.82,48,True
FORECAST-000105,COR-04,SEC-12,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,2,1,3,0.93,56,True
FORECAST-000106,COR-04,SEC-12,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,0,0,2,0.83,0,True
FORECAST-000107,COR-04,SEC-12,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,2,0,4,0.86,44,True
FORECAST-000108,COR-04,SEC-12,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,4,3,5,0.73,84,True
FORECAST-000109,COR-05,SEC-13,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,3,1,5,0.83,66,True
FORECAST-000110,COR-05,SEC-13,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,6,4,8,0.92,138,True
FORECAST-000111,COR-05,SEC-13,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,5,3,7,0.84,120,True
FORECAST-000112,COR-05,SEC-13,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,3,2,4,0.89,84,True
FORECAST-000113,COR-05,SEC-14,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,5,4,6,0.77,90,True
FORECAST-000114,COR-05,SEC-14,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,7,5,9,0.91,140,True
FORECAST-000115,COR-05,SEC-14,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,6,5,7,0.89,156,True
FORECAST-000116,COR-05,SEC-14,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,6,4,8,0.84,162,True
FORECAST-000117,COR-05,SEC-15,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,5,4,6,0.91,100,True
FORECAST-000118,COR-05,SEC-15,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,3,2,4,0.76,75,True
FORECAST-000119,COR-05,SEC-15,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,4,3,5,0.82,72,True
FORECAST-000120,COR-05,SEC-15,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,6,4,8,0.86,150,True
FORECAST-000121,COR-01,SEC-01,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,1,0,2,0.73,27,True
FORECAST-000122,COR-01,SEC-01,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,4,3,5,0.75,88,True
FORECAST-000123,COR-01,SEC-01,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,4,2,6,0.91,88,True
FORECAST-000124,COR-01,SEC-01,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,1,0,3,0.82,24,True
FORECAST-000125,COR-01,SEC-02,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,4,2,6,0.77,72,True
FORECAST-000126,COR-01,SEC-02,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,3,2,4,0.78,72,True
FORECAST-000127,COR-01,SEC-02,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,1,0,2,0.79,20,True
FORECAST-000128,COR-01,SEC-02,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,2,0,4,0.83,46,True
FORECAST-000129,COR-01,SEC-03,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,3,2,4,0.93,75,True
FORECAST-000130,COR-01,SEC-03,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,0,0,1,0.81,0,True
FORECAST-000131,COR-01,SEC-03,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,1,0,2,0.89,19,True
FORECAST-000132,COR-01,SEC-03,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,0,0,1,0.73,0,True
FORECAST-000133,COR-02,SEC-04,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,0,0,2,0.75,0,True
FORECAST-000134,COR-02,SEC-04,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,0,0,1,0.73,0,True
FORECAST-000135,COR-02,SEC-04,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,2,1,3,0.75,42,True
FORECAST-000136,COR-02,SEC-04,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,1,0,3,0.76,25,True
FORECAST-000137,COR-02,SEC-05,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,1,0,2,0.82,21,True
FORECAST-000138,COR-02,SEC-05,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,1,0,2,0.92,21,True
FORECAST-000139,COR-02,SEC-05,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,2,0,4,0.72,52,True
FORECAST-000140,COR-02,SEC-05,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,4,2,6,0.77,100,True
FORECAST-000141,COR-02,SEC-06,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,2,1,3,0.8,50,True
FORECAST-000142,COR-02,SEC-06,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,0,0,2,0.78,0,True
FORECAST-000143,COR-02,SEC-06,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,1,0,2,0.88,19,True
FORECAST-000144,COR-02,SEC-06,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,1,0,2,0.8,24,True
FORECAST-000145,COR-03,SEC-07,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,3,1,5,0.73,72,True
FORECAST-000146,COR-03,SEC-07,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,2,0,4,0.74,50,True
FORECAST-000147,COR-03,SEC-07,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,4,3,5,0.85,104,True
FORECAST-000148,COR-03,SEC-07,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,3,2,4,0.87,69,True
FORECAST-000149,COR-03,SEC-08,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,0,0,1,0.84,0,True
FORECAST-000150,COR-03,SEC-08,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,2,1,3,0.78,42,True
FORECAST-000151,COR-03,SEC-08,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,3,2,4,0.9,75,True
FORECAST-000152,COR-03,SEC-08,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,3,1,5,0.88,57,True
FORECAST-000153,COR-03,SEC-09,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,0,0,1,0.78,0,True
FORECAST-000154,COR-03,SEC-09,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,3,2,4,0.88,81,True
FORECAST-000155,COR-03,SEC-09,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,2,1,3,0.83,48,True
FORECAST-000156,COR-03,SEC-09,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,3,2,4,0.82,60,True
FORECAST-000157,COR-04,SEC-10,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,4,3,5,0.91,88,True
FORECAST-000158,COR-04,SEC-10,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,0,0,1,0.73,0,True
FORECAST-000159,COR-04,SEC-10,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,4,3,5,0.79,92,True
FORECAST-000160,COR-04,SEC-10,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,3,2,4,0.92,63,True
FORECAST-000161,COR-04,SEC-11,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,2,1,3,0.85,46,True
FORECAST-000162,COR-04,SEC-11,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,3,2,4,0.76,63,True
FORECAST-000163,COR-04,SEC-11,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,1,0,3,0.74,28,True
FORECAST-000164,COR-04,SEC-11,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,0,0,1,0.92,0,True
FORECAST-000165,COR-04,SEC-12,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,0,0,1,0.85,0,True
FORECAST-000166,COR-04,SEC-12,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,4,3,5,0.74,72,True
FORECAST-000167,COR-04,SEC-12,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,1,0,2,0.84,26,True
FORECAST-000168,COR-04,SEC-12,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,3,2,4,0.76,54,True
FORECAST-000169,COR-05,SEC-13,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,3,2,4,0.93,54,True
FORECAST-000170,COR-05,SEC-13,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,4,2,6,0.93,104,True
FORECAST-000171,COR-05,SEC-13,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,3,2,4,0.86,78,True
FORECAST-000172,COR-05,SEC-13,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,4,3,5,0.87,112,True
FORECAST-000173,COR-05,SEC-14,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,7,6,8,0.78,126,True
FORECAST-000174,COR-05,SEC-14,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,6,5,7,0.76,126,True
FORECAST-000175,COR-05,SEC-14,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,7,6,8,0.73,126,True
FORECAST-000176,COR-05,SEC-14,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,5,4,6,0.91,120,True
FORECAST-000177,COR-05,SEC-15,2026-09-03,2026-09-03T00:00:00,2026-09-03T06:00:00,5,4,6,0.74,115,True
FORECAST-000178,COR-05,SEC-15,2026-09-03,2026-09-03T06:00:00,2026-09-03T12:00:00,3,1,5,0.82,63,True
FORECAST-000179,COR-05,SEC-15,2026-09-03,2026-09-03T12:00:00,2026-09-03T18:00:00,5,3,7,0.74,115,True
FORECAST-000180,COR-05,SEC-15,2026-09-03,2026-09-03T18:00:00,2026-09-04T00:00:00,4,3,5,0.84,80,True
FORECAST-000181,COR-01,SEC-01,2026-09-04,2026-09-04T00:00:00,2026-09-04T06:00:00,2,1,3,0.73,48,True
FORECAST-000182,COR-01,SEC-01,2026-09-04,2026-09-04T06:00:00,2026-09-04T12:00:00,2,0,4,0.91,36,True
FORECAST-000183,COR-01,SEC-01,2026-09-04,2026-09-04T12:00:00,2026-09-04T18:00:00,3,2,4,0.86,84,True
FORECAST-000184,COR-01,SEC-01,2026-09-04,2026-09-04T18:00:00,2026-09-05T00:00:00,4,3,5,0.93,72,True
FORECAST-000185,COR-01,SEC-02,2026-09-04,2026-09-04T00:00:00,2026-09-04T06:00:00,3,2,4,0.73,57,True
FORECAST-000186,COR-01,SEC-02,2026-09-04,2026-09-04T06:00:00,2026-09-04T12:00:00,0,0,2,0.78,0,True
FORECAST-000187,COR-01,SEC-02,2026-09-04,2026-09-04T12:00:00,2026-09-04T18:00:00,3,2,4,0.83,66,True
FORECAST-000188,COR-01,SEC-02,2026-09-04,2026-09-04T18:00:00,2026-09-05T00:00:00,1,0,2,0.79,22,True
FORECAST-000189,COR-01,SEC-03,2026-09-04,2026-09-04T00:00:00,2026-09-04T06:00:00,3,2,4,0.79,66,True
FORECAST-000190,COR-01,SEC-03,2026-09-04,2026-09-04T06:00:00,2026-09-04T12:00:00,0,0,1,0.84,0,True
FORECAST-000191,COR-01,SEC-03,2026-09-04,2026-09-04T12:00:00,2026-09-04T18:00:00,0,0,1,0.86,0,True
FORECAST-000192,COR-01,SEC-03,2026-09-04,2026-09-04T18:00:00,2026-09-05T00:00:00,1,0,2,0.8,28,True
FORECAST-000193,COR-02,SEC-04,2026-09-04,2026-09-04T00:00:00,2026-09-04T06:00:00,1,0,2,0.85,20,True
FORECAST-000194,COR-02,SEC-04,2026-09-04,2026-09-04T06:00:00,2026-09-04T12:00:00,2,1,3,0.93,44,True
FORECAST-000195,COR-02,SEC-04,2026-09-04,2026-09-04T12:00:00,2026-09-04T18:00:00,2,0,4,0.86,36,True
FORECAST-000196,COR-02,SEC-04,2026-09-04,2026-09-04T18:00:00,2026-09-05T00:00:00,0,0,1,0.94,0,True
FORECAST-000197,COR-02,SEC-05,2026-09-04,2026-09-04T00:00:00,2026-09-04T06:00:00,2,0,4,0.93,56,True
FORECAST-000198,COR-02,SEC-05,2026-09-04,2026-09-04T06:00:00,2026-09-04T12:00:00,0,0,2,0.73,0,True
FORECAST-000199,COR-02,SEC-05,2026-09-04,2026-09-04T12:00:00,2026-09-04T18:00:00,1,0,2,0.79,24,True
FORECAST-000200,COR-02,SEC-05,2026-09-04,2026-09-04T18:00:00,2026-09-05T00:00:00,1,0,2,0.73,25,True
FORECAST-000201,COR-02,SEC-06,2026-09-04,2026-09-04T00:00:00,2026-09-04T06:00:00,0,0,1,0.79,0,True
FORECAST-000202,COR-02,SEC-06,2026-09-04,2026-09-04T06:00:00,2026-09-04T12:00:00,4,3,5,0.82,104,True
FORECAST-000203,COR-02,SEC-06,2026-09-04,2026-09-04T12:00:00,2026-09-04T18:00:00,4,3,5,0.84,96,True
FORECAST-000204,COR-02,SEC-06,2026-09-04,2026-09-04T18:00:00,2026-09-05T00:00:00,0,0,1,0.78,0,True
FORECAST-000205,COR-03,SEC-07,2026-09-04,2026-09-04T00:00:00,2026-09-04T06:00:00,0,0,1,0.89,0,True
FORECAST-000206,COR-03,SEC-07,2026-09-04,2026-09-04T06:00:00,2026-09-04T12:00:00,4,3,5,0.73,92,True
