block_id,corridor_id,section_id,track_id,start_time,end_time,available_duration_minutes,traffic_level,permitted_departments,disconnection_available,supported_disconnection_types,available_teams,available_equipment,status,synthetic_data
BLOCK-000011,COR-01,SEC-02,GNC-UP,2026-09-01T10:55:00,2026-09-01T14:00:00,185,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000012,COR-01,SEC-02,GNC-DOWN,2026-09-01T10:55:00,2026-09-01T14:00:00,185,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000013,COR-01,SEC-02,GNC-UP,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Low,Engineering|Signal & Telecommunication|Traction Distribution,False,None,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000014,COR-01,SEC-02,GNC-DOWN,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000015,COR-01,SEC-03,GNC-UP,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000016,COR-01,SEC-03,GNC-DOWN,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000017,COR-01,SEC-03,GNC-UP,2026-09-01T11:21:00,2026-09-01T14:00:00,159,Medium,Engineering|Signal & Telecommunication|Traction Distribution,False,None,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000018,COR-01,SEC-03,GNC-DOWN,2026-09-01T11:21:00,2026-09-01T14:00:00,159,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000019,COR-01,SEC-03,GNC-UP,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Low,Engineering|Signal & Telecommunication|Traction Distribution,False,None,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000020,COR-01,SEC-03,GNC-DOWN,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Low,Engineering|Signal & Telecommunication|Traction Distribution,False,None,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000021,COR-02,SEC-04,GEC-UP,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000022,COR-02,SEC-04,GEC-DOWN,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000023,COR-02,SEC-04,GEC-UP,2026-09-01T10:00:00,2026-09-01T11:01:00,61,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000024,COR-02,SEC-04,GEC-DOWN,2026-09-01T10:00:00,2026-09-01T11:01:00,61,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000025,COR-02,SEC-04,GEC-UP,2026-09-01T11:29:00,2026-09-01T14:00:00,151,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000026,COR-02,SEC-04,GEC-DOWN,2026-09-01T11:29:00,2026-09-01T14:00:00,151,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000027,COR-02,SEC-04,GEC-UP,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000028,COR-02,SEC-04,GEC-DOWN,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000029,COR-02,SEC-05,GEC-UP,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000030,COR-02,SEC-05,GEC-DOWN,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000031,COR-02,SEC-05,GEC-UP,2026-09-01T10:00:00,2026-09-01T14:00:00,240,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000032,COR-02,SEC-05,GEC-DOWN,2026-09-01T10:00:00,2026-09-01T14:00:00,240,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000033,COR-02,SEC-05,GEC-UP,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000034,COR-02,SEC-05,GEC-DOWN,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000035,COR-02,SEC-06,GEC-UP,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000036,COR-02,SEC-06,GEC-DOWN,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000037,COR-02,SEC-06,GEC-UP,2026-09-01T10:30:00,2026-09-01T14:00:00,210,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000038,COR-02,SEC-06,GEC-DOWN,2026-09-01T10:30:00,2026-09-01T14:00:00,210,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000039,COR-02,SEC-06,GEC-UP,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000040,COR-02,SEC-06,GEC-DOWN,2026-09-01T21:30:00,2026-09-01T23:59:00,149,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000041,COR-03,SEC-07,GSC-UP,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000042,COR-03,SEC-07,GSC-DOWN,2026-09-01T00:00:00,2026-09-01T05:00:00,300,Medium,Engineering|Signal & Telecommunication|Traction Distribution,False,None,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000043,COR-03,SEC-07,GSC-UP,2026-09-01T10:17:00,2026-09-01T14:00:00,223,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000044,COR-03,SEC-07,GSC-DOWN,2026-09-01T10:17:00,2026-09-01T14:00:00,223,Medium,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
BLOCK-000045,COR-03,SEC-07,GSC-UP,2026-09-01T21:33:00,2026-09-01T23:59:00,146,Low,Engineering|Signal & Telecommunication|Traction Distribution,True,None|Power|Signalling|Track Possession|Power and Track,ENG-Team-01|ENG-Team-02|ENG-Team-03|SNT-Team-01|SNT-Team-02|SNT-Team-03|TRD-Team-01|TRD-Team-02|TRD-Team-03,Rail Grinder|Inspection Trolley|Tamping Machine|Ultrasonic Rail Tester|Signal Tester|Cable Fault Locator|Axle Counter Tester|Track Circuit Meter|OHE Inspection Vehicle|Insulation Tester|Contact Wire Gauge|Tower Wagon,Available,True
